id,grupo,periodo,valor_real,probabilidad,modalidad,semestre,asistencia_pct,promedio_academico
EST-01139,Marketing Digital,2026-2,0,0.8100960174530226,Hibrida,8,62.6,3.29
EST-01273,Diseno Visual,2026-1,1,0.5692015372403365,Virtual,8,76.1,4.6
EST-01477,Diseno Visual,2026-1,0,0.1430318130397084,Presencial,2,93.5,5.0
EST-00700,Ingenieria de Sistemas,2026-2,0,0.0998731772000076,Presencial,6,95.7,5.0
EST-00344,Diseno Visual,2026-1,0,0.2087384771070871,Virtual,6,93.1,5.0
EST-00803,Ingenieria de Sistemas,2025-2,0,0.2268189936626227,Virtual,4,89.0,4.53
EST-01325,Marketing Digital,2026-1,0,0.1904996230492304,Presencial,8,86.6,4.65
EST-01049,Marketing Digital,2024-2,0,0.1506163644770534,Hibrida,3,81.9,4.49
EST-00124,Ingenieria de Sistemas,2026-1,0,0.5163621833767545,Presencial,8,79.4,4.72
EST-00773,Ingenieria de Sistemas,2024-1,0,0.2361046987093172,Presencial,2,84.8,5.0
EST-01480,Ciencia de Datos,2025-2,0,0.1941816542550517,Presencial,5,92.2,5.0
EST-01180,Ciencia de Datos,2024-1,0,0.4158349686333583,Virtual,5,84.4,5.0
EST-01080,Diseno Visual,2024-2,0,0.4559747848001353,Hibrida,1,82.8,4.62
EST-01463,Ingenieria de Sistemas,2025-1,0,0.3131815003615786,Hibrida,7,81.7,5.0
EST-00789,Ingenieria de Sistemas,2025-1,1,0.7887007529201443,Presencial,6,69.9,4.67
EST-00457,Ciencia de Datos,2026-2,0,0.4541587472140545,Hibrida,8,81.6,4.47
EST-01258,Administracion,2024-1,0,0.4232818358037251,Hibrida,8,86.3,5.0
EST-00857,Marketing Digital,2026-1,0,0.2213892544575063,Presencial,8,98.8,4.4
EST-00104,Ingenieria de Sistemas,2025-1,1,0.545854390705472,Hibrida,1,84.4,4.87
EST-00901,Ingenieria de Sistemas,2024-1,1,0.7982486153333084,Hibrida,3,55.7,3.91
EST-01025,Ciencia de Datos,2025-1,0,0.1191617089163899,Virtual,6,96.6,5.0
EST-00982,Diseno Visual,2024-2,0,0.1939786144706219,Virtual,6,80.2,4.53
EST-01152,Ciencia de Datos,2025-1,0,0.4342922713455666,Presencial,5,82.8,4.51
EST-01351,Ciencia de Datos,2026-1,0,0.8569721890753773,Hibrida,4,67.1,3.68
EST-00888,Ciencia de Datos,2025-2,0,0.2381302186828857,Hibrida,6,89.3,4.7
EST-01085,Administracion,2025-2,0,0.3637208842675454,Hibrida,6,87.4,4.45
EST-00039,Administracion,2025-1,0,0.4429222661876428,Presencial,2,86.9,5.0
EST-00173,Ciencia de Datos,2024-2,1,0.7086019268503108,Presencial,5,73.2,3.93
EST-00818,Ciencia de Datos,2026-2,0,0.4016856719295853,Presencial,4,92.4,4.71
EST-01383,Ingenieria de Sistemas,2024-1,0,0.4845985853371091,Presencial,6,79.1,4.55
EST-00172,Ciencia de Datos,2025-2,0,0.2846431547312752,Presencial,2,92.7,5.0
EST-00307,Administracion,2025-2,0,0.2161745019733641,Virtual,3,95.2,5.0
EST-00549,Ingenieria de Sistemas,2024-1,0,0.093586207181387,Virtual,3,98.0,5.0
EST-01253,Administracion,2026-1,0,0.314256602298838,Presencial,3,87.5,4.42
EST-01159,Ingenieria de Sistemas,2025-1,0,0.478216416736845,Virtual,5,77.2,4.66
EST-00261,Diseno Visual,2024-2,0,0.354757775302226,Presencial,5,87.5,4.66
EST-00653,Ciencia de Datos,2025-1,1,0.5133687534049353,Presencial,1,86.3,5.0
EST-01063,Ingenieria de Sistemas,2025-1,0,0.1468639767276395,Presencial,6,100.0,5.0
EST-00240,Diseno Visual,2026-1,0,0.2616739142638947,Virtual,7,98.2,4.97
EST-01177,Marketing Digital,2026-2,0,0.4099677660140258,Virtual,6,84.0,4.95
EST-00605,Administracion,2026-2,0,0.1199773693344546,Hibrida,6,93.6,5.0
EST-00835,Administracion,2026-2,0,0.2765759556858103,Presencial,8,91.6,4.3
EST-00163,Ciencia de Datos,2024-2,0,0.3114033964273655,Presencial,1,82.9,4.69
EST-00963,Ciencia de Datos,2025-1,1,0.9483915065442888,Presencial,6,54.2,3.98
EST-00745,Marketing Digital,2026-2,0,0.4823951618553797,Virtual,7,69.7,4.48
EST-00999,Diseno Visual,2025-2,0,0.345564953010388,Virtual,5,79.9,4.87
